page,location,old_image,old_alt,new_image,new_alt
/fences/wood-fence/,Showcase Row 1 — Cedar Privacy,wood-fence-nw-arkansas-fence-company-05.jpg,Cedar board-on-board privacy fence installed by Thomas Fence in Northwest Arkansas,cedar_fence_bentonville_residential_backyard_fence_geo_01.jpg,Cedar privacy fence installed by Thomas Fence at a residential property in Bentonville Arkansas
/fences/wood-fence/,Showcase Row 2 — Horizontal,horizontal_wood_fence_bentonville_residential_geo_01.jpg,Horizontal wood fence installed by Thomas Fence at a residential property in Bentonville Arkansas,KEPT — already geo,KEPT
/fences/wood-fence/,Showcase Row 3 — Shadowbox,wood-fence-nw-arkansas-fence-company-09.jpg,Shadowbox wood fence with ornamental gate installed by Thomas Fence in Northwest Arkansas,wood_fence_bentonville_residential_fence_geo_01.jpg,Wood privacy fence installed by Thomas Fence at a residential property in Bentonville Arkansas
/fences/wood-fence/,Showcase Row 4 — Post & Rail,wood-fence-nw-arkansas-fence-company-07.jpg,Wood post-and-rail fence installed by Thomas Fence in Northwest Arkansas,wood_fence_cave_springs_residential_fence_geo_01.jpg,Wood fence installed by Thomas Fence at a residential property in Cave Springs Arkansas
/fences/wood-fence/,Gallery 1,wood-fence-nw-arkansas-fence-company-02.jpg,Cedar cap-and-trim privacy fence with gate — Thomas Fence Northwest Arkansas,cedar_fence_bentonville_residential_backyard_fence_geo_02.jpg,Cedar residential backyard fence — Thomas Fence Bentonville Arkansas
/fences/wood-fence/,Gallery 2,wood-fence-nw-arkansas-fence-company-03.jpg,Horizontal cedar privacy fence — Thomas Fence Northwest Arkansas,wood_fence_bentonville_cedar_fence_geo_01.jpg,Cedar wood fence — Thomas Fence Bentonville Arkansas
/fences/wood-fence/,Gallery 3,wood-fence-nw-arkansas-fence-company-13.jpg,Board-on-board cedar fence with steel posts — Thomas Fence Northwest Arkansas,wood_fence_bentonville_cedar_fence_geo_02.jpg,Cedar fence installation — Thomas Fence Bentonville Arkansas
/fences/wood-fence/,Gallery 4,wood-fence-nw-arkansas-fence-company-14.jpg,Cedar privacy fence on new construction property — Thomas Fence Northwest Arkansas,wood_fence_bentonville_horizontal_geo_01.jpg,Horizontal wood fence — Thomas Fence Bentonville Arkansas
/fences/wood-fence/,Gallery 5,wood-fence-nw-arkansas-fence-company-17.jpg,Cedar shadowbox fence under construction — Thomas Fence Northwest Arkansas,wood_fence_bentonville_horizontal_geo_02.jpg,Horizontal wood fence at residential property — Thomas Fence Bentonville Arkansas
/fences/wood-fence/,Gallery 6,wood-fence-nw-arkansas-fence-company-20.jpg,Cedar picket fence on retaining wall — Thomas Fence Northwest Arkansas,wood_fence_bentonville_horizontal_geo_03.jpg,Horizontal cedar fence — Thomas Fence Bentonville Arkansas
/fences/wood-fence/,Gallery 7,wood-fence-nw-arkansas-fence-company-21.jpg,Stained shadowbox wood fence — Thomas Fence Northwest Arkansas,wood_fence_bentonville_residential_fence_geo_02.jpg,Wood privacy fence — Thomas Fence Bentonville Arkansas
/fences/wood-fence/,Gallery 8,wood-fence-nw-arkansas-fence-company-29.jpg,Dark stained horizontal wood privacy fence — Thomas Fence Northwest Arkansas,wood_fence_bentonville_residential_fence_geo_03.jpg,Residential wood fence — Thomas Fence Bentonville Arkansas
/fences/wood-fence/,Gallery 9,wood-fence-nw-arkansas-fence-company-12.jpg,Wood privacy fence installation — Thomas Fence Northwest Arkansas,wood_fence_siloam_springs_cedar_cap_trim_geo_01.jpg,Cedar cap-and-trim wood fence — Thomas Fence Siloam Springs Arkansas
/fences/wood-fence/,Gallery 10,wood-fence-nw-arkansas-fence-company-16.jpg,Wood fence project by Thomas Fence in Northwest Arkansas,wood_fence_siloam_springs_cedar_cap_trim_geo_02.jpg,Cedar cap-and-trim fence installation — Thomas Fence Siloam Springs Arkansas
